Date,Issuer,Symbol,Lead/Joint-Lead Managers,Offer Price,Opening Price,1st Day Close,1st Day % Px Chng,$ Chg Opening,$ Chg Close,Star Ratings,Performed,$ Chg Open to Close,% Chg Open to Close
2004-11-10,Ormat Technologies,ORA,Lehman Brothers/Deutsche Bank,15.0,15.2,15.67,4.47,0.2,0.67,2,,0.47000000000000003,3.092105263157895
2004-11-10,Nalco Holding,NLC,Goldman Sachs/Citigroup,15.0,15.15,16.2,8.0,0.15,1.2,1,,1.05,6.9306930693069315
2004-11-15,InPhonic ,INPC,Deutsche Bank/JP Morgan,19.0,23.01,24.0,26.32,4.01,5.0,2,,0.9900000000000002,4.302477183833116
2004-11-17,Specialty Underwriters' Alliance ,SUAI,Friedman Billings Ramsey,9.5,9.91,9.57,0.74,0.41,0.07,1,,-0.33999999999999997,-3.4308779011099895
2004-11-17,PRA International ,PRAI,Credit Suisse First Boston/Bear Stearns,19.0,21.0,21.0,10.53,2.0,2.0,2,,0.0,0.0
2004-11-17,Iowa Telecommunications Services ,IWA,Morgan Stanley/Merrill Lynch,19.0,20.58,20.8,9.47,1.58,1.8,1,,0.21999999999999997,1.0689990281827018
2004-11-18,Coinmach Service ,DRY,Merrill Lynch,13.64,13.64,13.64,0.0,0.0,0.0,1,,0.0,0.0
2004-11-18,Monolithic Power Systems ,MPWR,Goldman Sachs/Merrill Lynch,8.5,9.06,9.84,15.76,0.56,1.34,2,,0.78,8.609271523178808
2004-11-18,PortalPlayer ,PLAY,Citigroup/Credit Suisse First Boston,17.0,25.6,25.8,51.76,8.6,8.8,3,,0.20000000000000107,0.7812500000000042
2004-11-22,UAP Holdings ,UAPH,Goldman Sachs/Credit Suisse First Boston/UBS Investment Bank,16.0,16.25,16.32,2.0,0.25,0.32,2,,0.07,0.43076923076923085
2004-12-02,Ninetowns Digital World Trade Holdings ,NINE,JP Morgan,11.0,14.0,11.4,3.64,3.0,0.4,3,,-2.6,-18.571428571428573
2004-12-07,CABG Medical ,CABG,Feltl/Ladenburg Thalmann,5.5,6.4,6.09,10.73,0.9,0.59,1,,-0.31000000000000005,-4.843750000000001
2004-12-08,Foundation Coal Holdings ,FCL,Morgan Stanley/Citigroup,22.0,23.35,21.75,-1.14,1.35,-0.25,2,,-1.6,-6.852248394004283
2004-12-08,OccuLogix ,RHEO,Citigroup,12.0,13.0,12.0,0.0,1.0,0.0,2,,-1.0,-7.6923076923076925
